State,County,"Total law
enforcement
employees","Total
officers","Total
civilians"
COLORADO-Nonmetropolitan Counties,Costilla,9,6,3
COLORADO-Nonmetropolitan Counties,Crowley,11,6,5
COLORADO-Nonmetropolitan Counties,Custer,22,9,13
COLORADO-Nonmetropolitan Counties,Delta,64,29,35
COLORADO-Nonmetropolitan Counties,Dolores,7,5,2
COLORADO-Nonmetropolitan Counties,Eagle,73,45,28
COLORADO-Nonmetropolitan Counties,Fremont,85,36,49
COLORADO-Nonmetropolitan Counties,Garfield,138,47,91
COLORADO-Nonmetropolitan Counties,Grand,48,19,29
COLORADO-Nonmetropolitan Counties,Gunnison,28,13,15
COLORADO-Nonmetropolitan Counties,Hinsdale,4,3,1
COLORADO-Nonmetropolitan Counties,Huerfano,24,11,13
COLORADO-Nonmetropolitan Counties,Jackson,7,4,3
COLORADO-Nonmetropolitan Counties,Kiowa,7,6,1
COLORADO-Nonmetropolitan Counties,Kit Carson,29,7,22
COLORADO-Nonmetropolitan Counties,Lake,16,8,8
COLORADO-Nonmetropolitan Counties,La Plata,127,98,29
COLORADO-Nonmetropolitan Counties,Las Animas,30,14,16
COLORADO-Nonmetropolitan Counties,Lincoln,21,9,12
COLORADO-Nonmetropolitan Counties,Logan,50,24,26
COLORADO-Nonmetropolitan Counties,Mineral,4,3,1
COLORADO-Nonmetropolitan Counties,Moffat,33,16,17
COLORADO-Nonmetropolitan Counties,Montezuma,71,28,43
COLORADO-Nonmetropolitan Counties,Montrose,114,53,61
COLORADO-Nonmetropolitan Counties,Morgan,50,23,27
COLORADO-Nonmetropolitan Counties,Otero,11,9,2
COLORADO-Nonmetropolitan Counties,Ouray,8,8,0
COLORADO-Nonmetropolitan Counties,Phillips,4,4,0
COLORADO-Nonmetropolitan Counties,Pitkin,42,24,18
COLORADO-Nonmetropolitan Counties,Prowers,32,9,23
COLORADO-Nonmetropolitan Counties,Rio Blanco,31,16,15
COLORADO-Nonmetropolitan Counties,Rio Grande,15,10,5
COLORADO-Nonmetropolitan Counties,Routt,47,42,5
COLORADO-Nonmetropolitan Counties,Saguache,19,8,11
COLORADO-Nonmetropolitan Counties,San Juan,4,3,1
COLORADO-Nonmetropolitan Counties,San Miguel,34,30,4
COLORADO-Nonmetropolitan Counties,Sedgwick,12,6,6
COLORADO-Nonmetropolitan Counties,Summit,58,51,7
COLORADO-Nonmetropolitan Counties,Washington,44,12,32
